Customer_ID,Name,City,Age,Gender,Income,Purchase_Amount,Product_Category,Payment_Method,Transaction_Date
CUST1000,Gilang,Medan,49.0,Female,46476894.0,7922636.0,Groceries,Bank Transfer,2024-01-01
CUST1001,Dewi,Yogyakarta,30.0,Female,35363575.0,3277902.0,Furniture,Credit Card,2024-01-02
CUST1002,Eka,Bandung,47.0,Female,5061774.0,17632327.0,Fashion,Bank Transfer,2024-01-03
CUST1003,Gilang,BSD,40.0,Female,39344790.0,19197931.0,Groceries,Credit Card,2024-01-04
CUST1004,Citra,Surabaya,36.0,Female,23637778.0,19112021.0,Sports,Credit Card,2024-01-05
CUST1005,Hani,Bandung,49.0,Female,9976610.0,15114061.0,Electronics,E-Wallet,2024-01-06
CUST1006,Eka,Surabaya,47.0,Male,9210715.0,1999054.0,Groceries,Bank Transfer,2024-01-07
CUST1007,Eka,Jakarta,46.0,Male,30488445.0,1650184.0,Groceries,Bank Transfer,2024-01-08
CUST1008,Gilang,Bandung,62.0,Female,34335282.0,8253113.0,Sports,Credit Card,2024-01-09
CUST1009,Budi,BSD,46.0,Male,28303302.0,3373523.0,Furniture,Credit Card,2024-01-10
CUST1010,Citra,Bandung,,Female,,,Fashion,,2024-01-11
CUST1011,Gilang,Bandung,33.0,Female,20686927.0,13236003.0,Sports,Cash,2024-01-12
CUST1012,Citra,Bandung,57.0,Male,40266016.0,19647958.0,Fashion,Credit Card,2024-01-13
CUST1013,Citra,Yogyakarta,36.0,Female,43467715.0,19647590.0,Furniture,Cash,2024-01-14
CUST1014,Hani,Bandung,35.0,Female,38174147.0,11534523.0,Groceries,Cash,2024-01-15
CUST1015,Eka,Surabaya,18.0,Female,46570727.0,7396405.0,Fashion,Credit Card,2024-01-16
CUST1016,Dewi,Jakarta,31.0,Female,9314768.0,14239308.0,Electronics,Credit Card,2024-01-17
CUST1017,Hani,Medan,64.0,Male,28101670.0,8759522.0,Electronics,Bank Transfer,2024-01-18
CUST1018,Hani,Bandung,150.0,Female,11815995.0,16364021.0,Sports,Credit Card,2024-01-19
CUST1019,Citra,BSD,45.0,Female,43280883.0,17911802.0,Furniture,Credit Card,2024-01-20
CUST1020,Fajar,Bandung,47.0,Female,11064220.0,6140502.0,Sports,E-Wallet,2024-01-21
CUST1021,Eka,BSD,55.0,Male,21321829.0,14419175.0,Sports,Bank Transfer,2024-01-22
CUST1022,Budi,Surabaya,21.0,Female,21074854.0,5647094.0,Sports,Bank Transfer,2024-01-23
CUST1023,Hani,BSD,18.0,Male,26912113.0,3200581.0,Electronics,Bank Transfer,2024-01-24
CUST1024,Dewi,Medan,25.0,Male,27525886.0,2761637.0,Electronics,E-Wallet,2024-01-25
CUST1025,Fajar,Jakarta,46.0,Female,49573028.0,3772277.0,Sports,Credit Card,2024-01-26
CUST1026,Fajar,BSD,56.0,Female,33590972.0,18961720.0,Electronics,Bank Transfer,2024-01-27
CUST1027,Budi,BSD,20.0,Male,48038050.0,12645745.0,Furniture,Bank Transfer,2024-01-28
CUST1028,Hani,Jakarta,49.0,Female,39010502.0,10743344.0,Sports,Cash,2024-01-29
CUST1029,Dewi,Medan,27.0,Male,45432666.0,3121372.0,Electronics,Bank Transfer,2024-01-30
CUST1030,Eka,Bandung,27.0,Male,36843291.0,16177579.0,Fashion,Credit Card,2024-01-31
CUST1031,Andi,BSD,36.0,Female,24526982.0,10876837.0,Sports,Credit Card,2024-02-01
CUST1032,Dewi,Jakarta,63.0,Female,18805013.0,4954042.0,Sports,Cash,2024-02-02
CUST1033,Budi,Surabaya,,Male,,,Furniture,,2024-02-03
CUST1034,Fajar,Jakarta,50.0,Male,45537345.0,14603291.0,Groceries,Bank Transfer,2024-02-04
CUST1035,Eka,Surabaya,40.0,Male,40811773.0,3930121.0,Groceries,Bank Transfer,2024-02-05
CUST1036,Dewi,Medan,45.0,Male,18321333.0,12051552.0,Furniture,E-Wallet,2024-02-06
CUST1037,Andi,Bandung,49.0,Female,42031525.0,13938428.0,Furniture,Bank Transfer,2024-02-07
CUST1038,Andi,Jakarta,-5.0,Female,45147406.0,18230540.0,Furniture,Credit Card,2024-02-08
CUST1039,Citra,Yogyakarta,,Female,1000000000.0,500000000.0,Groceries,,2024-02-09
CUST1040,Citra,BSD,25.0,Female,47194441.0,4368173.0,Furniture,E-Wallet,2024-02-10
CUST1041,Gilang,Medan,18.0,Female,42083478.0,6134722.0,Electronics,E-Wallet,2024-02-11
CUST1042,Budi,Jakarta,20.0,Male,12426807.0,9358415.0,Sports,Bank Transfer,2024-02-12
CUST1043,Hani,BSD,41.0,Female,20438118.0,16711127.0,Sports,Cash,2024-02-13
CUST1044,Dewi,Jakarta,40.0,Female,44116548.0,4170028.0,Fashion,E-Wallet,2024-02-14
CUST1045,Dewi,Surabaya,25.0,Female,29535897.0,11153104.0,Fashion,E-Wallet,2024-02-15
CUST1046,Hani,Jakarta,64.0,Female,32319409.0,11360784.0,Sports,Bank Transfer,2024-02-16
CUST1047,Gilang,Yogyakarta,54.0,Female,21463212.0,1469277.0,Electronics,Bank Transfer,2024-02-17
CUST1048,Fajar,Jakarta,20.0,Male,33596308.0,849971.0,Groceries,E-Wallet,2024-02-18
CUST1049,Fajar,Jakarta,50.0,Male,23023633.0,15811072.0,Groceries,Cash,2024-02-19
CUST1050,Gilang,Yogyakarta,45.0,Male,12091044.0,12654841.0,Electronics,E-Wallet,2024-02-20
CUST1051,Fajar,Medan,64.0,Female,30709612.0,8322502.0,Groceries,Bank Transfer,2024-02-21
CUST1052,Citra,Jakarta,25.0,Male,17942371.0,4560276.0,Furniture,Bank Transfer,2024-02-22
CUST1053,Dewi,Yogyakarta,51.0,Male,4551330.0,7556688.0,Sports,E-Wallet,2024-02-23
CUST1054,Gilang,BSD,,Female,,,Sports,,2024-02-24
CUST1055,Dewi,Surabaya,49.0,Female,7657851.0,8974365.0,Electronics,E-Wallet,2024-02-25
CUST1056,Hani,Surabaya,41.0,Female,26472522.0,18931592.0,Groceries,E-Wallet,2024-02-26
CUST1057,Andi,Jakarta,31.0,Male,8378750.0,18062327.0,Fashion,Bank Transfer,2024-02-27
CUST1058,Citra,Medan,49.0,Male,5607411.0,5061828.0,Fashion,Cash,2024-02-28
CUST1059,Eka,Medan,63.0,Female,4693439.0,14326224.0,Groceries,Credit Card,2024-02-29
CUST1060,Citra,BSD,60.0,Female,21608310.0,19270135.0,Fashion,Cash,2024-03-01
CUST1061,Gilang,Jakarta,33.0,Male,39991604.0,1600948.0,Electronics,E-Wallet,2024-03-02
CUST1062,Eka,Surabaya,21.0,Male,19604953.0,6427090.0,Electronics,E-Wallet,2024-03-03
CUST1063,Andi,Medan,,Female,,,Groceries,,2024-03-04
CUST1064,Gilang,Jakarta,38.0,Female,43474307.0,5937196.0,Fashion,Cash,2024-03-05
CUST1065,Budi,Medan,,Male,,,Electronics,,2024-03-06
CUST1066,Dewi,Yogyakarta,,Female,,,Electronics,,2024-03-07
CUST1067,Andi,Medan,35.0,Male,15807931.0,5657805.0,Furniture,E-Wallet,2024-03-08
CUST1068,Dewi,Surabaya,24.0,Male,34216359.0,5002444.0,Furniture,Cash,2024-03-09
CUST1069,Fajar,Bandung,27.0,Male,6815144.0,17069728.0,Electronics,Credit Card,2024-03-10
CUST1070,Budi,BSD,24.0,Male,23213468.0,14263986.0,Groceries,Credit Card,2024-03-11
CUST1071,Budi,BSD,50.0,Female,19541107.0,5945447.0,Sports,Bank Transfer,2024-03-12
CUST1072,Andi,Surabaya,,Female,,,Sports,,2024-03-13
CUST1073,Budi,Medan,38.0,Male,30151781.0,1649420.0,Electronics,E-Wallet,2024-03-14
CUST1074,Eka,Jakarta,36.0,Male,10596585.0,11837532.0,Electronics,Cash,2024-03-15
CUST1075,Budi,Medan,36.0,Male,19177172.0,15037388.0,Electronics,E-Wallet,2024-03-16
CUST1076,Dewi,Surabaya,,Male,,,Groceries,,2024-03-17
CUST1077,Dewi,BSD,,Male,,,Furniture,,2024-03-18
CUST1078,Gilang,Medan,,Female,,,Electronics,,2024-03-19
CUST1079,Dewi,BSD,19.0,Female,12490536.0,11453540.0,Electronics,Bank Transfer,2024-03-20
CUST1080,Gilang,Jakarta,18.0,Female,39075711.0,6822055.0,Fashion,Credit Card,2024-03-21
CUST1081,Dewi,BSD,,Female,,,Groceries,,2024-03-22
CUST1082,Eka,BSD,22.0,Male,13488951.0,15514106.0,Electronics,Cash,2024-03-23
CUST1083,Hani,Bandung,37.0,Male,15485000.0,9135949.0,Fashion,E-Wallet,2024-03-24
CUST1084,Gilang,Bandung,28.0,Male,25897064.0,18398198.0,Sports,Credit Card,2024-03-25
CUST1085,Citra,Yogyakarta,59.0,Male,5726016.0,6381646.0,Electronics,E-Wallet,2024-03-26
CUST1086,Fajar,Bandung,19.0,Male,3442939.0,6526288.0,Electronics,Credit Card,2024-03-27
