transaction_id,transaction_date,customer_name,customer_city,product_category,product_name,unit_price,quantity,total_amount,payment_method,delivery_status,merchant_name
TRX-10001,2025-06-11,ANDI SAPUTRA,surabaya,fashion,Kaos Polos,6473388,10,64733880.0,Ewallet,Delivered,BeautyHub
TRX-10002,21-03-2025,Andi Saputra,jakarta,Fashion,Laptop Asus,2284489,1,2284489.0,Card,delivered,GadgetMart
TRX-10003,14/05/2025,NANDA PRATAMA,Surabaya,aksesoris,Vacuum Cleaner,9574682,10,95746820.0,COD,Pending,SportMax
TRX-10004,2025/06/25,Budi Santoso,Medan,Kecantican,Lipstik Wardah,9678519,10,96785190.0,Card,Returned,BeautyHub
TRX-10005,2025-07-09,Mega Putri,,Acsesoris,Laptop Asus,4573669,2,9147338.0,Transfer,,TrendShop
TRX-10006,2025/03/02,Budi Santoso,,Macanan,Smartwatch,1816891,3,5450673.0,E-Wallet,Pending,PowerCell
TRX-10007,2025/07/08,RUDI HARTONO,Surabaya,olahraga,Laptop Asus,9230351,2,18460702.0,Kartu Kredit,Canceled,HomeEssence
TRX-10008,08/08/2025,Ahmad Fauzi,Bandung,Acsesoris,Vacuum Cleaner,9834633,3,29503899.0,COD,delivered,HomeEssence
TRX-10009,2025/05/28,RUDI HARTONO,,Rumah Tanggas,Powerbank 10K,9355648,100,935564800.0,COD,pending,BeautyHub
TRX-10010,2025/03/15,MEGA PUTRI,Med,fashion,Smartwatch,3325709,1,1819549.8537974185,Transfer,,HomeEssence
TRX-10011,16/06/2025,MEGA PUTRI,Jekerte,Makanans,Lipstik Wardah,8292680,1,8292680.0,Transfer,pending,HomeEssence
TRX-10012,2025-04-20,DEWI LESTARI,Surabaya,Kecantikans,Powerbank 10K,2713046,2,5426092.0,Card,pending,PowerCell
TRX-10013,12/05/2025,BUDI SANTOSO,surabaya,Fashion,Powerbank 10K,6690913,1,6690913.0,Ewallet,Delivered,BeautyHub
TRX-10014,2025/05/28,Nanda Pratama,Jak,Acsesoris,Laptop Asus,3435659,1,4734371.081591755,Transfer,Delivered,HomeEssence
TRX-10015,09-03-2025,BUDI SANTOSO,,Fashions,Powerbank 10K,1515689,2,3031378.0,Ewallet,Returned,TrendShop
TRX-10016,08/07/2025,dewi lestari,Yog,Makanans,Kaos Polos,2795683,5,13978415.0,Transfer,Canceled,TechZone
TRX-10017,19/08/2025,Rudi Hartono,Jakarta,Fashion,Headphone JBL,5047895,1,5047895.0,Transfer,delivered,TrendShop
TRX-10018,2025/05/20,Nanda Pratama,makassar,Rumah Tanggas,Laptop Asus,4205299,1,4205299.0,Kartu Kredit,Pending,TechZone
TRX-10019,2025-06-12,mega putri,Meden,Makanan,Kaos Polos,6299859,1,7737572.42906348,Transfer,Pending,TrendShop
TRX-10020,12/07/2025,Nanda Pratama,medan,,Laptop Asus,3960197,100,396019700.0,Transfer,Returned,SportMax
TRX-10021,2025-03-04,ANDI SAPUTRA,Makassar,elektronik,Powerbank 10K,5464709,1,5464709.0,Kartu Kredit,Pending,SportMax
TRX-10022,13-04-2025,Andi Saputra,Medan,Macanan,Smartwatch,8635377,100,863537700.0,Card,pending,SportMax
TRX-10023,14-03-2025,Siti Aminah,surabaya,Elektronik,Sepatu Nike,3097262,10,33579820.64569183,,delivered,TrendShop
TRX-10024,2025-04-09,Budi Santoso,Jakarta,rumah tangga,Vacuum Cleaner,3416612,1,3416612.0,Ewallet,Pending,BeautyHub
TRX-10025,2025-06-19,budi santoso,Yog,kecantikan,Sepatu Nike,2680708,10,26807080.0,Kartu Kredit,Pending,HomeEssence
TRX-10026,2025/08/01,nanda pratama,Denpasar,Elektroniks,Kaos Polos,1817640,15,19443867.06223595,E-Wallet,Pending,PowerCell
TRX-10027,2025-08-04,rudi hartono,surabaya,Macanan,Headphone JBL,6130526,0,0.0,Ewallet,Canceled,HomeEssence
TRX-10028,2025-05-28,siti aminah,Jakarta,rumah tangga,Lipstik Wardah,6606168,10,66061680.0,COD,pending,PowerCell
TRX-10029,07/07/2025,DEWI LESTARI,Med,Aksesoris,Kaos Polos,2280919,10,22809190.0,E-Wallet,Delivered,TechZone
TRX-10030,2025/05/02,SITI AMINAH,,Rumah Tanggas,Vacuum Cleaner,1787095,1,1787095.0,Transfer,Delivered,HomeEssence
TRX-10031,10/08/2025,andi saputra,makassar,makanan,Headphone JBL,7519344,2,15038688.0,Transfer,Canceled,TrendShop
TRX-10032,10/04/2025,budi santoso,Denpeser,olahraga,Laptop Asus,3903339,5,19516695.0,COD,Returned,TechZone
TRX-10033,11/05/2025,ahmad fauzi,denpasar,kecantikan,Kaos Polos,1046107,1,1046107.0,Transfer,Returned,TrendShop
TRX-10034,02/04/2025,nanda pratama,surabaya,Fashion,Laptop Asus,4595583,5,22977915.0,E-Wallet,Delivered,SportMax
TRX-10035,2025/07/29,AHMAD FAUZI,Mekesser,Rumah Tangga,Headphone JBL,3797389,10,37973890.0,E-Wallet,Pending,BeautyHub
TRX-10036,2025/04/06,Andi Saputra,Mekesser,Kecantican,Vacuum Cleaner,6295035,10,62950350.0,Ewallet,Delivered,GadgetMart
TRX-10037,04/04/2025,Dewi Lestari,Yogyekerte,elektronik,Sepatu Nike,541234,2,1082468.0,Card,Canceled,BeautyHub
TRX-10038,2025/08/22,BUDI SANTOSO,Sur,Rumah Tanggas,Sepatu Nike,9959709,1,9959709.0,E-Wallet,delivered,TrendShop
TRX-10039,01/03/2025,MEGA PUTRI,medan,Olahraga,Vacuum Cleaner,6964550,5,34822750.0,Transfer,Canceled,PowerCell
TRX-10040,27/03/2025,MEGA PUTRI,Mak,Makanans,Smartwatch,7608158,100,760815800.0,Ewallet,Returned,SportMax
TRX-10041,11/04/2025,budi santoso,Mak,elektronik,Lipstik Wardah,7937739,1,7937739.0,,Pending,TechZone
TRX-10042,2025-05-02,rudi hartono,Makassar,Makanans,Laptop Asus,5342895,5,26714475.0,Kartu Kredit,Returned,GadgetMart
TRX-10043,21/04/2025,SITI AMINAH,Yogyakarta,Aksesoris,Vacuum Cleaner,3381068,1,3381068.0,Card,delivered,GadgetMart
TRX-10044,2025-07-29,Rudi Hartono,medan,Aksesoriss,Sepatu Nike,1023548,1,1023548.0,Kartu Kredit,delivered,SportMax
TRX-10045,13-03-2025,Nanda Pratama,Yogyekerte,Macanan,Laptop Asus,5243542,1,5243542.0,E-Wallet,delivered,GadgetMart
TRX-10046,25/05/2025,dewi lestari,Jak,Fashion,Sepatu Nike,6756971,1,6756971.0,Ewallet,Delivered,TrendShop
TRX-10047,17/08/2025,rudi hartono,yogyakarta,rumah tangga,Kaos Polos,2589448,2,5178896.0,E-Wallet,delivered,GadgetMart
TRX-10048,12-07-2025,Andi Saputra,Denpeser,,Vacuum Cleaner,167129220,100,835646100.0,E-Wallet,Canceled,SportMax
